loss grad-norm learning-rate epoch
4.1053 2.2173097133636475 1.8e-05 0.0
0.9659 0.7175039052963257 0.000118 0.01
0.197 0.22805605828762054 0.00019961602290846376 0.02
0.1484 0.20407040417194366 0.00019896521427874135 0.03
0.135 0.2462143898010254 0.0001983144056490189 0.04
0.1144 0.24952197074890137 0.00019759851615632423 0.05
0.1009 0.3101007342338562 0.0001969477075266018 0.06
0.0867 0.24434220790863037 0.0001962968988968794 0.07
0.0802 0.39094823598861694 0.00019558100940418472 0.08
0.068 0.3266042470932007 0.00019493020077446227 0.09
0.0631 0.2570851147174835 0.00019427939214473986 0.1
0.0524 0.3004246950149536 0.00019362858351501742 0.11
0.048 0.3831217288970947 0.00019291269402232274 0.12
0.0446 0.36030006408691406 0.0001922618853926003 0.13
0.0375 0.30334120988845825 0.00019161107676287788 0.14
0.0339 0.28253453969955444 0.0001908951872701832 0.15
0.0303 0.37366795539855957 0.00019024437864046079 0.16
0.0282 0.21223723888397217 0.00018959357001073834 0.17
0.0259 0.28760287165641785 0.00018894276138101593 0.18
0.022 0.23839832842350006 0.00018822687188832125 0.19
0.0213 0.28221315145492554 0.00018757606325859883 0.2
0.0181 0.3884451687335968 0.0001869252546288764 0.21
0.0173 0.23462951183319092 0.00018627444599915395 0.22
0.0123 0.21862392127513885 0.00018555855650645927 0.23
0.0124 0.23378370702266693 0.00018490774787673685 0.24
0.0099 0.15279707312583923 0.0001842569392470144 0.25
0.0122 0.29804015159606934 0.00018354104975431976 0.26
0.0081 0.1682989001274109 0.00018289024112459732 0.27
0.0082 0.16336987912654877 0.0001822394324948749 0.28
0.0063 0.17032496631145477 0.00018158862386515246 0.29
0.0065 0.267616868019104 0.0001808727343724578 0.3
0.0086 0.19130827486515045 0.00018022192574273537 0.31
0.0061 0.11604286730289459 0.00017957111711301292 0.32
0.0051 0.1357782483100891 0.00017885522762031825 0.33
0.0049 0.27324923872947693 0.00017820441899059583 0.34
0.0044 0.23545105755329132 0.0001775536103608734 0.35
0.0052 0.23768672347068787 0.00017690280173115097 0.36
0.0046 0.056498028337955475 0.0001761869122384563 0.37
0.0037 0.19067947566509247 0.00017553610360873388 0.38
0.0039 0.10119231045246124 0.00017488529497901144 0.39
0.0045 0.11657050251960754 0.000174234486349289 0.4
0.0036 0.3048155605792999 0.00017351859685659434 0.41
0.0083 0.14159531891345978 0.0001728677882268719 0.42
0.004 0.16476953029632568 0.00017221697959714946 0.43
0.0036 0.16419968008995056 0.00017150109010445478 0.44
0.0042 0.14756935834884644 0.00017085028147473236 0.45
0.0041 0.05464154854416847 0.00017019947284500995 0.46
0.0032 0.3875744044780731 0.0001695486642152875 0.47
0.0043 0.1941285878419876 0.00016883277472259283 0.48
0.0041 0.0951499491930008 0.0001681819660928704 0.49
0.0034 0.05636307969689369 0.00016753115746314797 0.5
0.0055 0.11352914571762085 0.00016681526797045332 0.51
0.0042 0.18834206461906433 0.00016616445934073085 0.52
0.0026 0.11430180072784424 0.00016551365071100843 0.53
0.0038 0.0582856684923172 0.000164862842081286 0.54
0.0044 0.18107670545578003 0.00016414695258859134 0.55
0.0046 0.1068449541926384 0.0001634961439588689 0.56
0.0027 0.03242819756269455 0.00016284533532914648 0.57
0.0053 0.12439233064651489 0.00016219452669942404 0.58
0.004 0.046994391828775406 0.00016147863720672939 0.59
0.0046 0.1152576431632042 0.00016082782857700694 0.6
0.0037 0.1648685336112976 0.00016018352803358175 0.61
0.0039 0.04374729469418526 0.00015946763854088707 0.62
0.0021 0.09541291743516922 0.00015881682991116463 0.63
0.0026 0.024815339595079422 0.00015817252936773944 0.64
0.0036 0.20867961645126343 0.00015752822882431422 0.65
0.0595 0.017810994759202003 0.000156825355504214 0.66
0.0028 0.03906694054603577 0.0001561810549607888 0.67
0.0024 0.09665369987487793 0.00015553024633106635 0.68
0.0028 0.008154118433594704 0.00015481435683837168 0.69
0.0027 0.2885330021381378 0.00015416354820864923 0.7
0.0031 0.029758337885141373 0.00015351273957892682 0.71
0.0022 0.009066042490303516 0.0001528619309492044 0.72
0.0041 0.1166301965713501 0.00015214604145650972 0.73
0.0028 0.05665824934840202 0.00015149523282678728 0.74
0.0025 0.059324607253074646 0.00015084442419706487 0.75
0.0041 0.0442824587225914 0.00015019361556734245 0.76
0.0028 0.11679748445749283 0.00014947772607464777 0.77
0.0036 0.1153963953256607 0.00014882691744492533 0.78
0.005 0.02174011804163456 0.0001481761088152029 0.79
0.0026 0.07118984311819077 0.0001474602193225082 0.8
0.0031 0.021999124437570572 0.0001468094106927858 0.81
0.0025 0.02879706211388111 0.00014615860206306335 0.82
0.0038 0.12008322775363922 0.00014550779343334093 0.83
0.0023 0.08155306428670883 0.00014479190394064626 0.84
0.0027 0.19689546525478363 0.00014414109531092384 0.85
0.0029 0.23896735906600952 0.0001434902866812014 0.86
0.0035 0.024639997631311417 0.00014277439718850675 0.87
0.003 0.1598137766122818 0.0001421235885587843 0.88
0.0024 0.030896775424480438 0.00014147277992906186 0.89
0.0021 0.04315931722521782 0.00014082197129933942 0.9
0.0036 0.054161589592695236 0.00014010608180664477 0.91
0.0044 0.07380291819572449 0.00013945527317692233 0.92
0.0027 0.0972418412566185 0.0001388044645471999 0.93
0.0022 0.08634010702371597 0.00013815365591747747 0.94
0.0025 0.10756833851337433 0.00013743776642478282 0.95
0.0036 0.11880125850439072 0.00013678695779506037 0.96
0.0041 0.060360509902238846 0.00013613614916533796 0.97
0.0019 0.07303421199321747 0.00013542025967264328 0.98
0.0025 0.06774870306253433 0.00013476945104292084 0.99
0.0033 0.01808830164372921 0.0001341186424131984 1.0
0.0019 0.007966439239680767 0.00013346783378347598 1.01
0.003 0.021855471655726433 0.0001327519442907813 1.02
0.0019 0.00798681192100048 0.00013210113566105886 1.03
0.0028 0.10550058633089066 0.00013145032703133644 1.04
0.0029 0.13491831719875336 0.00013073443753864176 1.05
0.002 0.007041111588478088 0.00013008362890891935 1.06
0.0029 0.10297267884016037 0.0001294328202791969 1.07
0.0026 0.006391893140971661 0.00012878201164947446 1.08
0.0036 0.08240494877099991 0.0001280661221567798 1.09
